"Source:","/home/spocky/arena-clock/pcb/arena-clock/arena-clock.kicad_sch"
"Date:","Mon 20 Nov 2023 06:52:53 PM EST"
"Tool:","Eeschema 6.0.10-86aedd382b~118~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","128"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"12","1","J8","AUX 12V OUT","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"13","2","J9, J10","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"14","1","J11","12V POW CONN","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"15","1","J12","5V POW CONN","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"16","1","J13","AUX SINK","Connector_Generic:Conn_01x06","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"17","1","J14","AUX GPIO","Connector_Generic:Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"18","1","J15","Barrel_Jack","Connector:Barrel_Jack_Switch_MountingPin","Connector_BarrelJack:BarrelJack_Kycon_KLDX-0202-xC_Horizontal","~"
"19","1","J16","CN3 Breakout","Connector:Conn_01x15_Female","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","~"
"20","1","J17","CN3","Connector:Conn_01x15_Female","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","~"
"21","1","J18","CN4","Connector:Conn_01x15_Female","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","~"
"22","1","J19","CN4 Breakout","Connector:Conn_01x15_Female","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","~"
"23","10","R1, R4, R7, R56, R57, R58, R59, R60, R61, R62","0","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"24","4","R2, R3, R5, R6","100k","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"25","48","R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55","15","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"26","24","R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86","120","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"27","1","U1","TPIC6595",":TPIC6C596_3","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/tpic6595.pdf"
"28","1","U2","TPIC6595",":TPIC6C596_1","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/tpic6595.pdf"
"29","1","U3","TPIC6595",":TPIC6C596_2","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/tpic6595.pdf"
"30","2","U4, U5","J107F1CS1212VDC.36","project-components:J107F1CS1212VDC.36","Relay_THT:Relay_SPDT_Finder_36.11",""
"31","3","U6, U7, U8","HDSP-7501","Display_Character:HDSP-7501","Display_7Segment:HDSP-A151","https://docs.broadcom.com/docs/AV02-2553EN"
"32","1","U9","BD50FD0WFP","project-components:BD50FD0WFP","Package_TO_SOT_SMD:TO-263-5","https://fscdn.rohm.com/en/products/databook/datasheet/ic/power/linear_regulator/bdxxfd0xxxx-e.pdf"
"33","1","U10","TPIC6595","project-components:TPIC6C596","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/tpic6595.pdf"
"34","2","U11, U12","TXU0104","project-components:TXU0104","Package_SO:TSSOP-14_4.4x5mm_P0.65mm",""
